Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
4890,7.579772949,23.45191956,10.23958778,-1.106590271,18.47648621,8.61854744,-36.88221741,-121.7848816
4928,7.200218201,22.02030182,9.321432114,-1.67339325,17.79168701,8.151151657,-44.23716736,-131.7425995
4959,6.767913818,20.7035141,8.483905792,-2.146896362,17.051651,7.635117531,-51.30325317,-141.1265411
5003,6.375564575,19.57579041,7.793989182,-2.430431366,16.27746582,7.139406204,-57.85220337,-149.6800385
5028,6.091186523,18.6615448,7.293111801,-2.490386963,15.51734161,6.731813431,-63.662323,-157.2770233
5055,5.940437317,17.93424988,6.971378326,-2.368167877,14.83098602,6.46635437,-68.56240845,-163.9084015
5091,5.924911499,17.32298279,6.768306732,-2.159152985,14.25585175,6.376138687,-72.44967651,-169.6089325
5124,6.040962219,16.73749542,6.601232529,-1.966953278,13.78110504,6.441928864,-75.30841064,-174.3859406
5163,6.281837463,16.10345459,6.395936966,-1.846637726,13.3577652,6.58898735,-77.1184082,-178.2313385
5209,6.623603821,15.38565063,6.112195969,-1.782485962,12.94555664,6.738298416,-77.69692993,-181.1968842
5233,7.01210022,14.59913635,5.764194489,-1.705101013,12.55277252,6.847898483,-76.72079468,-183.4116974
5262,7.386177063,13.80426025,5.416028976,-1.517189026,12.22480011,6.912445068,-74.13873291,-185.0089874
5296,7.726760864,13.08398438,5.143013,-1.126415253,11.99649048,6.949838638,-70.70275879,-186.0529633
5322,8.073852539,12.51300049,4.992290497,-0.490127563,11.8684845,6.992010117,-67.71618652,-186.5048981
5360,8.497001648,12.12584686,4.974935532,0.358665466,11.82009125,7.078246117,-65.99749756,-186.2493744
5394,9.047485352,11.90016937,5.076316833,1.328968048,11.82660675,7.247440338,-65.40463257,-185.1871185
5422,9.717781067,11.7674408,5.259183884,2.306755066,11.86691284,7.524867058,-65.30511475,-183.2816925
5470,10.43570709,11.63771057,5.461122513,3.177616119,11.92402649,7.899404526,-65.13027954,-180.5156403
5498,11.09455872,11.421875,5.606878281,3.847423553,11.98106384,8.305150032,-64.60241699,-176.8678436
5522,11.59513855,11.05343628,5.634740829,4.2719841,12.01517487,8.641253471,-63.73577881,-172.3531647
5559,11.87903595,10.50411987,5.513450623,4.467441559,11.99182892,8.821340561,-62.71859741,-167.0590363
5590,11.93217468,9.769119263,5.240682602,4.478908539,11.86269379,8.79944706,-61.79638672,-161.1378326
5620,11.76583862,8.842254639,4.827060699,4.339954376,11.57160187,8.565999985,-61.15319824,-154.7660065
5666,11.4092865,7.730209351,4.282697678,4.065258026,11.07421112,8.143326759,-60.70318604,-148.1004181
5695,10.91311646,6.474182129,3.621398926,3.668567657,10.36161804,7.574361801,-60.0012207,-141.2247162
5728,10.32809448,5.130050659,2.85751915,3.167415619,9.46055603,6.894622803,-58.54165649,-134.1162262
5758,9.67024231,3.749984741,1.993967056,2.570133209,8.411399841,6.122964859,-56.16821289,-126.7142792
5791,8.930450439,2.39100647,1.039405823,1.875118256,7.253242493,5.290739059,-53.10070801,-119.0216675
5824,8.126121521,1.111953735,0.03758812,1.096363068,6.027610779,4.466018677,-49.63522339,-111.1112213
5866,7.330101013,-0.032104492,-0.925422668,0.296199799,4.795661926,3.74398613,-45.95465088,-103.0688019
5900,6.657318115,-0.974090576,-1.726411819,-0.415336609,3.662612915,3.219013214,-42.12797546,-94.95877075
5924,6.231971741,-1.621047974,-2.21736145,-0.914352417,2.784538269,2.959606171,-38.12524414,-86.82662964
5955,6.15447998,-1.867248535,-2.25963974,-1.089286804,2.328315735,3.007238388,-33.88232422,-78.72180176
5996,6.485832214,-1.629318237,-1.780769348,-0.871986389,2.414588928,3.390592575,-29.36967468,-70.72561646
6035,7.237831116,-0.875518799,-0.820640564,-0.282466888,3.08908844,4.117786407,-24.55361938,-62.96806335
6058,8.346481323,0.366088867,0.473644257,0.5822258,4.308937073,5.14352417,-19.54977417,-55.60980225
6102,9.660133362,2.008804321,1.908924103,1.602508545,5.939186096,6.359130859,-14.93814087,-48.79066467
6141,10.98231506,3.913848877,3.315149307,2.638233185,7.780647278,7.627440453,-11.47244263,-42.60704041
6163,12.13864899,5.912414551,4.564119339,3.509082794,9.613037109,8.811343193,-9.362411499,-37.1499176
6192,13.01009369,7.851699829,5.557966232,4.041362762,11.22861481,9.780077934,-8.219497681,-32.54090881
6224,13.5364151,9.643692017,6.251045227,4.14056778,12.46617889,10.44135284,-7.58140564,-28.9377594
6249,13.72044373,11.27837372,6.684885025,3.811626434,13.25365448,10.7823391,-7.220703125,-26.5422821
6291,13.62460327,12.8033371,6.977050781,3.148654938,13.62981415,10.86593914,-7.190246582,-25.61712646
6327,13.35955811,14.29619598,7.275114059,2.32698822,13.72148132,10.7997961,-7.882843018,-26.48959351
6361,13.07370758,15.83309174,7.710826874,1.573940277,13.70417786,10.71125793,-10.04641724,-29.50564575
6390,12.91440582,17.4613266,8.362371445,1.108955383,13.76396942,10.71638489,-14.38348389,-34.93664551
6423,12.96066284,19.18398285,9.234037399,1.066932678,14.04103851,10.88463402,-20.83370972,-42.89100647
6459,13.19113922,20.95145416,10.26828194,1.438911438,14.58210754,11.23386765,-28.53361511,-53.26905823
6492,13.52670288,22.67586517,11.38105583,2.084220886,15.34978485,11.7473011,-36.64311218,-65.77174377
6529,13.90039063,24.27345276,12.48625565,2.814746857,16.266716,12.3777771,-44.854599,-79.93873596
6560,14.28222656,25.6887207,13.50265217,3.479358673,17.24951172,13.05686665,-53.20339966,-95.22402954
6595,14.64994049,26.88567352,14.36927605,3.988658905,18.22438812,13.7141161,-61.86148071,-111.1376343
6626,14.95037079,27.85282898,15.0628376,4.300060272,19.13392639,14.27469254,-71.05111694,-127.3327789
6675,15.09589386,28.61063385,15.58458138,4.40455246,19.9438324,14.66002083,-80.76608276,-143.5270233
6700,15.01055145,29.18294525,15.92814255,4.311946869,20.64072418,14.81643391,-90.50720215,-159.3742218
6726,14.67918396,29.57892609,16.07722092,4.038578033,21.20986938,14.73288631,-99.48373413,-174.4262848
6760,14.1355896,29.81472015,16.03401947,3.613079071,21.62704468,14.43771267,-107.0757751,-188.1989899
6803,13.41582489,29.92545319,15.83957386,3.07869339,21.88274384,13.99166775,-113.0699768,-200.2865753
6845,12.54573822,29.9491806,15.56875992,2.48456192,21.99313354,13.45846558,-117.625824,-210.4412689
6864,11.55123138,29.9106369,15.2951746,1.871936798,21.98265839,12.86273479,-121.0464478,-218.5828094
6895,10.45600128,29.81669617,15.04999924,1.244506836,21.86870575,12.19262695,-123.4996033,-224.768631
6932,9.279411316,29.66078186,14.8151722,0.564655304,21.66181946,11.44385815,-124.9701843,-229.1493073
6956,8.047134399,29.43504333,14.54740047,-0.19210434,21.37931824,10.64127731,-125.387085,-231.9006805
6994,6.796089172,29.14254761,14.21027184,-1.003341675,21.05444336,9.821502686,-124.7133179,-233.1342621
7028,5.554176331,28.79402924,13.80224037,-1.817173004,20.72273254,9.005906105,-122.9736023,-232.8496246
7074,4.323074341,28.39691925,13.35981178,-2.559345245,20.41347504,8.192362785,-120.191864,-230.9715424
7104,3.092735291,27.95935822,12.92808151,-3.142578125,20.15813446,7.379247665,-116.2869873,-227.4174957
7120,1.87096405,27.50030518,12.53505325,-3.512557983,19.98014832,6.589149475,-111.1240234,-222.1581879
7164,0.696121216,27.04833984,12.19698906,-3.682209015,19.87847137,5.859708786,-104.7155151,-215.2680511
7198,-0.38445282,26.634758,11.92747116,-3.715015411,19.83425903,5.21497345,-97.33233643,-206.917923
7226,-1.34249115,26.28560638,11.73193169,-3.688816071,19.82482147,4.645664215,-89.43157959,-197.3078461
7261,-2.176132202,26.00919342,11.60192871,-3.677108765,19.83052826,4.127883911,-81.456604,-186.6183624
7292,-2.899597168,25.78455353,11.50885201,-3.746292114,19.83726501,3.664596558,-73.56594849,-175.0154877
7327,-3.516227722,25.56602478,11.40634346,-3.950077057,19.83657837,3.287668228,-65.51544189,-162.6785126
7361,-4.00592041,25.30644226,11.26050949,-4.304424286,19.82535553,3.019971848,-56.93228149,-149.8198395
7395,-4.343078613,24.98744202,11.08052826,-4.748664856,19.80612946,2.858539581,-47.74769592,-136.6961823
7429,-4.507347107,24.64529419,10.91286469,-5.142471313,19.78830719,2.792617798,-38.279953,-123.6034698
7471,-4.481788635,24.3694458,10.81393242,-5.331279755,19.78999329,2.824558258,-28.94314575,-110.8378296
7499,-4.249031067,24.26148224,10.83625793,-5.226718903,19.83908844,2.97792244,-19.98960876,-98.64875793
7537,-3.779907227,24.38509369,11.0297451,-4.834072113,19.97132874,3.292009354,-11.48205566,-87.21052551
7565,-3.04094696,24.74423218,11.43576241,-4.213672638,20.2219162,3.800191879,-3.415344238,-76.61624146
7599,-2.031730652,25.29875946,12.06815243,-3.412475586,20.60671997,4.504144669,4.143829346,-66.9147644
7634,-0.799194336,26.00019836,12.90064144,-2.440429688,21.10559845,5.372713089,11.0333252,-58.16149902
7668,0.595458984,26.81144714,13.87540054,-1.315124512,21.67805481,6.365291595,17.09939575,-50.43107605
7697,2.098449707,27.69953918,14.91980553,-0.101081848,22.29722595,7.450813293,22.28500366,-43.82479858
7726,3.648651123,28.63001251,15.96197701,1.114852905,22.95032501,8.610636711,26.603302,-38.48493958
7766,5.181045532,29.57525635,16.95319939,2.276805878,23.61669159,9.828993797,30.04586792,-34.55496216
7803,6.655830383,30.51714325,17.88134193,3.376033783,24.26556396,11.07396698,32.53746033,-32.1028595
7832,8.056846619,31.43151855,18.75706482,4.426143646,24.86064148,12.28779793,33.95898438,-31.09397888
7866,9.364440918,32.27352142,19.59084511,5.435428619,25.35939026,13.40678406,34.1955719,-31.43199158
7897,10.55342865,32.98329163,20.37657356,6.392757416,25.72727203,14.38545322,33.18849182,-33.02258301
7937,11.6031189,33.50949097,21.08927917,7.26657486,25.95568848,15.20015907,30.96534729,-35.81170654
7966,12.49060822,33.83321381,21.69786072,8.020153046,26.05561829,15.83758545,27.63536072,-39.78526306
7999,13.18598175,33.96588898,22.17171669,8.632968903,26.03616333,16.27181625,23.33174133,-44.96081543
8030,13.6682663,33.92369843,22.47688103,9.102466583,25.89141083,16.46441269,18.13282776,-51.37580872
8061,13.9492569,33.70992279,22.58143044,9.431255341,25.60329437,16.40634918,12.07228088,-59.05328369
8099,14.07498932,33.32001495,22.47405052,9.618450165,25.16082764,16.14926147,5.223617554,-67.95588684
8129,14.103302,32.76087189,22.18296051,9.655513763,24.58120728,15.78599358,-2.282989502,-77.94441223
8161,14.08451843,32.06004333,21.77976608,9.543743134,23.90156555,15.39871216,-10.32527161,-88.75621033
8196,14.05469513,31.25579834,21.3488121,9.317058563,23.15526581,15.02099609,-18.78334045,-100.0098419
8223,14.0357666,30.38854218,20.93847847,9.034091949,22.37670898,14.64509106,-27.46368408,-111.2386475
8263,14.03784943,29.49728394,20.54950142,8.764499664,21.61431122,14.26187038,-36.1089325,-121.9832001
8301,14.06105042,28.60837555,20.16283035,8.572154999,20.91545105,13.89282322,-44.44966125,-131.9056244
8327,14.09513855,27.72023773,19.75823212,8.479381561,20.29369354,13.57409191,-52.24118042,-140.8186493
8360,14.11729431,26.79740143,19.30917358,8.448955536,19.70594788,13.30649567,-59.32998657,-148.6326752
8394,14.08930969,25.78218842,18.77256203,8.396915436,19.07034302,13.03278732,-65.63458252,-155.3247833
8425,13.95713806,24.61212158,18.09287262,8.21137619,18.31369781,12.65908909,-71.06723022,-160.9576263
