Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
4621,8.828788757,-22.5384903,-20.57814026,-31.11430359,-0.964004517,-20.37371063,718.4451904,695.8682861
4658,7.722900391,-23.20169067,-20.78269196,-31.38951111,-1.88457489,-20.61340332,715.6968994,692.7318115
4694,6.500740051,-23.97305298,-21.10736847,-31.68754578,-2.806098938,-20.9362793,712.2802734,689.060791
4724,5.202400208,-24.76364136,-21.47813416,-31.94545746,-3.694343567,-21.29228973,708.1124268,684.8411865
4755,3.87928772,-25.52043915,-21.80878448,-32.10785675,-4.504043579,-21.64910126,703.2011719,680.0292969
4798,2.569465637,-26.22409821,-22.05923462,-32.16055298,-5.205245972,-22.00735474,697.5845337,674.5501709
4827,1.287483215,-26.86907959,-22.23589325,-32.13576508,-5.806861877,-22.37856293,691.2542725,668.3181763
4850,0.033599854,-27.46154785,-22.35050964,-32.08070374,-6.352485657,-22.75643158,684.1088257,661.267334
4890,-1.191680908,-28.01557159,-22.41080475,-32.02735138,-6.894615173,-23.11160278,676.0018311,653.3544312
4928,-2.380935669,-28.52690125,-22.43171692,-31.98864746,-7.471572876,-23.41652679,666.852356,644.5480957
4959,-3.527770996,-28.97464371,-22.43453217,-31.96613312,-8.1043396,-23.67247009,656.7050781,634.8400879
5003,-4.63658905,-29.36169434,-22.44174957,-31.95604706,-8.804931641,-23.9101181,645.6434326,624.2574463
5028,-5.721328735,-29.72296524,-22.47480774,-31.95332336,-9.57572937,-24.16978455,633.6431885,612.8643188
5055,-6.799491882,-30.09018707,-22.55119324,-31.95362854,-10.40545654,-24.47683716,620.6247559,600.7593384
5091,-7.887329102,-30.47130203,-22.67764282,-31.95413208,-11.2749176,-24.82177734,606.6580811,588.0561523
5124,-8.99533844,-30.86120987,-22.8473587,-31.95372772,-12.16623688,-25.16119385,591.9952393,574.8546143
5163,-10.12348175,-31.26146317,-23.05043793,-31.95300293,-13.07010651,-25.44644165,576.9134521,561.2338867
5209,-11.25559998,-31.68785858,-23.27758789,-31.95427704,-13.99163818,-25.65316772,561.5557251,547.2598877
5233,-12.35965729,-32.14479446,-23.50820923,-31.96153259,-14.94872284,-25.78501892,545.8494263,532.9517822
5262,-13.40113831,-32.58616638,-23.71575165,-31.97986603,-15.95626831,-25.8597641,529.6083984,518.2228394
5296,-14.3579483,-32.92609024,-23.89330292,-32.01393127,-17.00862122,-25.8959198,512.7443848,502.8886719
5322,-15.2252655,-33.09592438,-24.05089569,-32.06453705,-18.07287598,-25.90473175,495.2920532,486.7593079
5360,-16.01148224,-33.07577515,-24.17575836,-32.12311554,-19.09346771,-25.8862381,477.2563477,469.7410889
5394,-16.72544098,-32.88886642,-24.21793365,-32.16418457,-20.00968933,-25.82839966,458.5769653,451.8601379
5422,-17.36786652,-32.58262253,-24.12474823,-32.13789368,-20.77555847,-25.7094574,439.2634888,433.211731
5470,-17.93323517,-32.1943512,-23.8788147,-31.97757721,-21.3718338,-25.50444794,419.4744873,413.9257202
5498,-18.40898132,-31.73704147,-23.51451111,-31.63981628,-21.8121109,-25.19769287,399.4179993,394.1580811
5522,-18.77893066,-31.22075653,-23.10443878,-31.14407349,-22.13751984,-24.79714203,379.2172546,374.0562134
5559,-19.03788757,-30.66514587,-22.71123505,-30.55497742,-22.39936066,-24.33340454,358.9069214,353.7215576
5590,-19.19849396,-30.10050583,-22.34764099,-29.9256897,-22.64094543,-23.83696747,338.5186768,333.2202454
5620,-19.28397369,-29.5540657,-21.98855591,-29.26750183,-22.88296509,-23.3214035,318.1126404,312.6452942
5666,-19.31922913,-29.01772308,-21.61179352,-28.55975342,-23.11691284,-22.79428864,297.7655029,292.1851196
5695,-19.32579041,-28.45622635,-21.21752167,-27.77716827,-23.31864166,-22.27017975,277.6094971,272.1192627
5728,-19.31941223,-27.85647583,-20.81843567,-26.91544342,-23.47566223,-21.76064301,257.8544006,252.7427216
5758,-19.30935669,-27.23855591,-20.42157745,-25.99689484,-23.59642792,-21.26409149,238.7352295,234.3100433
5791,-19.29847717,-26.62973785,-20.02152252,-25.05635834,-23.68907166,-20.77864838,220.4328613,217.0093994
5824,-19.283638,-26.06112671,-19.61450958,-24.12515259,-23.74204254,-20.31384277,203.0058289,200.9162292
5866,-19.25640106,-25.5625,-19.21294403,-23.21889496,-23.73252106,-19.8768158,186.4067993,185.9700775
5900,-19.2039566,-25.13050079,-18.83944702,-22.33521271,-23.64365387,-19.45679474,170.5360107,172.0259857
5924,-19.11092377,-24.72866821,-18.50904846,-21.47927856,-23.47197723,-19.03743744,155.2581482,158.9488373
5955,-18.96240997,-24.33006287,-18.21760559,-20.69522858,-23.23204803,-18.62565613,140.4914856,146.6934052
5996,-18.74923706,-23.94403839,-17.95517731,-20.04930878,-22.95851898,-18.26146698,126.3006363,135.3120422
6035,-18.47582245,-23.60922241,-17.73378754,-19.58951569,-22.69179535,-17.9957962,112.8411942,124.8857117
6058,-18.16466522,-23.37185669,-17.58852386,-19.34509277,-22.45233917,-17.86327362,100.3072586,115.4652481
